Wort	Wortart
Er	PPER
verlegt	VVFIN
die	ARTDEF
Party	NN
,	$,
weil	KOUS
er	PPER
dieses	PD
Wochenende	NN
seine	PPOS
Großeltern	NN
in	AP
Berlin	NE
besuchen	VVINF
will	VMFIN
.	$.
	
Wer	PW
kennt	VVFIN
diese	PD
Serie	NN
nicht	PTK
?	$.
	
Als	KOUS
Tim	NE
heute	ADV
nach	AP
Hause	NN
kam	VVFIN
,	$,
aß	VVFIN
seine	PPOS
Schwester	NN
eine	ARTIND
große	ADJA
Tafel	NN
Schokolade	NN
,	$,
während	KOUS
sie	PPER
ihre	PPOS
Hausaufgaben	NN
machte	VVFIN
.	$.
	
Während	AP
des	ARTDEF
Abendessens	NN
erzählte	VVFIN
Lea	NE
,	$,
	
dass	KOUS
sie	PPER
eine	ARTIND
Klausur	NN
über	AP
Wortarten	NN
geschrieben 	VVPP
hatte	VAFIN
.	$.
	
Juhu	ITJ
,	$,
endlich	ADV
schießt	VVFIN
der	ARTDEF
HSV	NE
ein	ARTIND
Tor	NN
und	KON
gewinnt	VVFIN
.	$.
	
Der	ARTDEF
Verständlichkeit	NN
halber	AP
wird	VAFIN
auf	AP
den	ARTDEF
übermäßigen	ADJA
Gebrauch	NN
von	AP
Fachtermini	NN
,	$,
die	PREL
verwirren	VVFIN
,	$,
verzichtet	VVPP
.	$.
	
Kein	PI
Mensch	NN
ist	VAFIN
illegal	ADJD
.	$.
